method,wave_number,original_operator,assigned_zone,assigned_worker,released_at_seconds,started_at_seconds,finished_at_seconds,release_delay_seconds,pick_tasks,pick_units,physical_zone_count,entropy_weight,allocation_id
entropy_based,33168,Operator_02,Z02,ENTROPY_LAMBDA_0:Z02:W01,0.0,0.0,223.41199999999952,0.0,24,24.0,4,0.0,A001
entropy_based,33169,Operator_08,Z02,ENTROPY_LAMBDA_0:Z02:W02,0.0,0.0,151.38633333333334,0.0,24,24.0,3,0.0,A001
entropy_based,33170,Operator_08,Z04,ENTROPY_LAMBDA_0:Z04:W01,0.0,0.0,182.7636666666665,0.0,23,23.0,4,0.0,A001
entropy_based,33171,Operator_04,Z01,ENTROPY_LAMBDA_0:Z01:W01,0.0,0.0,156.7626666666665,0.0,24,24.0,4,0.0,A001
entropy_based,33172,Operator_19,Z01,ENTROPY_LAMBDA_0:Z01:W02,0.0,0.0,168.19266666666647,0.0,24,24.0,4,0.0,A001
entropy_based,33173,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W01,0.0,0.0,124.66266666666672,0.0,24,24.0,3,0.0,A001
entropy_based,33175,Operator_14,Z04,ENTROPY_LAMBDA_0:Z04:W02,0.0,0.0,165.65266666666648,0.0,24,24.0,3,0.0,A001
entropy_based,33179,Operator_02,Z01,ENTROPY_LAMBDA_0:Z01:W03,60.0,60.0,231.82499999999945,0.0,24,24.0,3,0.0,A001
entropy_based,33174,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W01,0.0,124.66266666666672,213.51133333333314,124.66266666666672,24,24.0,2,0.0,A001
entropy_based,33176,Operator_19,Z02,ENTROPY_LAMBDA_0:Z02:W02,0.0,151.38633333333334,274.91166666666646,151.38633333333334,24,24.0,2,0.0,A001
entropy_based,33182,Operator_02,Z01,ENTROPY_LAMBDA_0:Z01:W01,60.0,156.7626666666665,384.60566666666404,96.76266666666649,24,24.0,4,0.0,A001
entropy_based,33177,Operator_08,Z04,ENTROPY_LAMBDA_0:Z04:W02,0.0,165.65266666666648,287.831999999999,165.65266666666648,24,24.0,3,0.0,A001
entropy_based,33186,Operator_02,Z01,ENTROPY_LAMBDA_0:Z01:W02,60.0,168.19266666666647,331.8923333333317,108.19266666666647,24,24.0,4,0.0,A001
